suppliers_id,name,address,phone,email
507.0,Scott Inc,"748 Hall Spur
Andersonside, MT 82439",644.644.6871x104,bushkevin@example.org
367.0,Roberts LLC,"44384 Jamie Valleys
Jeffreyside, FL 04758",+1-760-374-9295,yharvey@example.net
577.0,"Young, Rodriguez and Ward","35807 Jessica Brooks Apt. 094
South Rachel, CT 03093",298.708.1342x4183,steven43@example.org
378.0,Miller Ltd,"870 Lance Brook Apt. 962
East Jeff, VI 19022",(315)958-0496x34376,jamesharris@example.net
89.0,"Houston, Evans and Richmond","998 Cynthia Bridge Suite 940
East William, UT 84839",264.539.7091x421,erichard@example.org
941.0,Figueroa LLC,"421 Tracie Springs Apt. 960
East Carolyn, HI 71373",+1-960-320-0100x8120,monica18@example.org
717.0,"Smith, Gardner and Baker","998 Jordan Harbors
Jessemouth, PR 27037",895.851.5010x584,nsmith@example.net
770.0,Garcia-Ray,"4552 Fisher Park
Lopezhaven, IA 61033",837-686-1699x683,kendra16@example.net
527.0,"Coleman, Hughes and Silva","9361 Megan Inlet Apt. 894
North Jamesstad, MA 19293",205.860.9894,johnsonamanda@example.net
362.0,"King, Moore and Campos","7651 Danielle Glens Suite 551
Lake Emilymouth, WA 96077",+1-828-774-2149x7378,uharris@example.net
